"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","06","06037","Los Angeles County (CA)","9,806,974","1,640,167","1,346,797","1,933,537","1,346,797 to 1,933,537","16.7","13.7","19.7","13.7 to 19.7","2,730,467","652,752","512,755","792,748","512,755 to 792,748","23.9","18.8","29.0","18.8 to 29.0","1,956,091","445,961","339,183","552,739","339,183 to 552,739","22.8","17.3","28.3","17.3 to 28.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,518","$42,205","$44,872","$42,205 to $44,872"
"2004","06","06039","Madera County (CA)","134,449","24,064","18,691","29,437","18,691 to 29,437","17.9","13.9","21.9","13.9 to 21.9","40,145","10,096","7,544","12,647","7,544 to 12,647","25.1","18.8","31.5","18.8 to 31.5","28,285","7,017","5,012","9,022","5,012 to 9,022","24.8","17.7","31.9","17.7 to 31.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,881","$35,548","$40,368","$35,548 to $40,368"
"2004","06","06041","Marin County (CA)","238,194","16,556","12,846","20,266","12,846 to 20,266","7.0","5.4","8.5","5.4 to 8.5","50,193","4,223","3,104","5,342","3,104 to 5,342","8.4","6.2","10.6","6.2 to 10.6","35,577","2,952","2,067","3,837","2,067 to 3,837","8.3","5.8","10.8","5.8 to 10.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$67,731","$63,535","$72,205","$63,535 to $72,205"
"2004","06","06043","Mariposa County (CA)","17,888","1,973","1,506","2,440","1,506 to 2,440","11.0","8.4","13.6","8.4 to 13.6","3,367","547","400","693","400 to 693","16.2","11.9","20.6","11.9 to 20.6","2,630","408","284","532","284 to 532","15.5","10.8","20.2","10.8 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,355","$35,054","$39,806","$35,054 to $39,806"
"2004","06","06045","Mendocino County (CA)","87,033","12,503","9,628","15,377","9,628 to 15,377","14.4","11.1","17.7","11.1 to 17.7","20,549","4,493","3,326","5,660","3,326 to 5,660","21.9","16.2","27.5","16.2 to 27.5","14,929","3,114","2,198","4,030","2,198 to 4,030","20.9","14.7","27.0","14.7 to 27.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,624","$34,386","$39,009","$34,386 to $39,009"
"2004","06","06047","Merced County (CA)","238,556","40,505","31,642","49,368","31,642 to 49,368","17.0","13.3","20.7","13.3 to 20.7","78,933","18,390","13,812","22,968","13,812 to 22,968","23.3","17.5","29.1","17.5 to 29.1","57,059","12,378","8,897","15,859","8,897 to 15,859","21.7","15.6","27.8","15.6 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,792","$36,470","$41,263","$36,470 to $41,263"
"2004","06","06049","Modoc County (CA)","9,246","1,429","1,089","1,769","1,089 to 1,769","15.5","11.8","19.1","11.8 to 19.1","2,022","479","343","615","343 to 615","23.7","16.9","30.4","16.9 to 30.4","1,584","360","245","475","245 to 475","22.7","15.5","30.0","15.5 to 30.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,526","$27,657","$31,520","$27,657 to $31,520"
"2004","06","06051","Mono County (CA)","12,500","1,031","782","1,280","782 to 1,280","8.2","6.3","10.2","6.3 to 10.2","2,733","312","226","399","226 to 399","11.4","8.3","14.6","8.3 to 14.6","1,987","230","158","302","158 to 302","11.6","8.0","15.2","8.0 to 15.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,083","$44,989","$51,390","$44,989 to $51,390"
"2004","06","06053","Monterey County (CA)","391,749","50,686","39,686","61,686","39,686 to 61,686","12.9","10.1","15.7","10.1 to 15.7","116,702","21,599","16,216","26,981","16,216 to 26,981","18.5","13.9","23.1","13.9 to 23.1","80,124","14,525","10,437","18,613","10,437 to 18,613","18.1","13.0","23.2","13.0 to 23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,971","$44,204","$49,910","$44,204 to $49,910"
"2004","06","06055","Napa County (CA)","128,687","10,036","7,773","12,298","7,773 to 12,298","7.8","6.0","9.6","6.0 to 9.6","30,985","3,306","2,454","4,157","2,454 to 4,157","10.7","7.9","13.4","7.9 to 13.4","22,352","2,339","1,660","3,018","1,660 to 3,018","10.5","7.4","13.5","7.4 to 13.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,184","$50,006","$56,564","$50,006 to $56,564"
"2004","06","06057","Nevada County (CA)","97,743","7,685","5,956","9,415","5,956 to 9,415","7.9","6.1","9.6","6.1 to 9.6","19,568","2,228","1,657","2,798","1,657 to 2,798","11.4","8.5","14.3","8.5 to 14.3","15,210","1,530","1,088","1,972","1,088 to 1,972","10.1","7.2","13.0","7.2 to 13.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,811","$46,829","$52,983","$46,829 to $52,983"
"2004","06","06059","Orange County (CA)","2,957,288","300,866","240,461","361,271","240,461 to 361,271","10.2","8.1","12.2","8.1 to 12.2","799,035","113,395","86,819","139,971","86,819 to 139,971","14.2","10.9","17.5","10.9 to 17.5","570,403","75,577","55,680","95,474","55,680 to 95,474","13.2","9.8","16.7","9.8 to 16.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,605","$55,835","$61,513","$55,835 to $61,513"
"2004","06","06061","Placer County (CA)","315,184","17,543","13,640","21,447","13,640 to 21,447","5.6","4.3","6.8","4.3 to 6.8","73,680","5,715","4,259","7,170","4,259 to 7,170","7.8","5.8","9.7","5.8 to 9.7","54,980","3,870","2,761","4,979","2,761 to 4,979","7.0","5.0","9.1","5.0 to 9.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$64,642","$60,732","$68,804","$60,732 to $68,804"
