"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06079","San Luis Obispo County, CA","213,091","0","38,754","2,712","18.2","1.3","174,337","2,712","81.8","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06079","San Luis Obispo County, CA","213,754","0","37,001","2,520","17.3","1.2","176,754","2,520","82.7","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06079","San Luis Obispo County, CA","213,089","0","36,409","2,615","17.1","1.2","176,680","2,615","82.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06079","San Luis Obispo County, CA","213,695","0","43,022","4,783","20.1","2.2","170,673","5,106","79.9","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06079","San Luis Obispo County, CA","211,332","0","46,843","5,081","22.2","2.4","164,488","5,109","77.8","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06081","San Mateo County, CA","632,259","0","76,528","4,351","12.1","0.7","555,731","4,351","87.9","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06081","San Mateo County, CA","630,922","0","82,376","4,673","13.1","0.7","548,545","4,673","86.9","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06081","San Mateo County, CA","622,230","0","82,752","4,857","13.3","0.8","539,478","4,857","86.7","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06081","San Mateo County, CA","619,045","0","83,186","4,843","13.4","0.8","535,859","4,843","86.6","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06081","San Mateo County, CA","628,206","0","81,449","4,566","13.0","0.7","546,757","4,566","87.0","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06081","San Mateo County, CA","620,580","0","78,798","4,594","12.7","0.7","541,782","4,594","87.3","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06081","San Mateo County, CA","617,341","0","99,367","9,575","16.1","1.6","517,974","10,397","83.9","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06081","San Mateo County, CA","606,723","0","102,664","9,628","16.9","1.6","504,060","10,164","83.1","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06083","Santa Barbara County, CA","359,219","0","75,886","4,244","21.1","1.2","283,333","4,244","78.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06083","Santa Barbara County, CA","357,632","0","75,357","4,087","21.1","1.1","282,275","4,087","78.9","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06083","Santa Barbara County, CA","356,044","0","79,118","4,441","22.2","1.2","276,927","4,441","77.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06083","Santa Barbara County, CA","354,623","0","75,530","4,272","21.3","1.2","279,093","4,272","78.7","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06083","Santa Barbara County, CA","338,928","0","65,520","3,664","19.3","1.1","273,408","3,664","80.7","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06083","Santa Barbara County, CA","338,316","0","63,830","3,735","18.9","1.1","274,485","3,735","81.1","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06083","Santa Barbara County, CA","338,252","0","82,623","7,453","24.4","2.2","255,629","7,739","75.6","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06083","Santa Barbara County, CA","339,991","0","90,320","7,531","26.6","2.2","249,671","7,375","73.4","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06085","Santa Clara County, CA","1,607,995","0","203,001","8,570","12.6","0.5","1,404,994","8,570","87.4","0.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06085","Santa Clara County, CA","1,605,451","0","215,463","9,050","13.4","0.6","1,389,987","9,050","86.6","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06085","Santa Clara County, CA","1,581,960","0","210,490","9,442","13.3","0.6","1,371,470","9,442","86.7","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06085","Santa Clara County, CA","1,570,149","0","216,019","9,416","13.8","0.6","1,354,130","9,416","86.2","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06085","Santa Clara County, CA","1,594,014","0","220,218","9,251","13.8","0.6","1,373,796","9,251","86.2","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06085","Santa Clara County, CA","1,574,596","0","190,669","8,647","12.1","0.5","1,383,927","8,647","87.9","0.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06085","Santa Clara County, CA","1,560,514","0","241,748","19,056","15.5","1.2","1,318,766","21,679","84.5","1.4"
